Email,Territorio,País de envío,Estado o provincia de envío,Municipio,Colonia,Calle de envío,Estatus,Código postal de envío,Ruta,Nombre de la cuenta,Plantilla de clientes,Folio de tienda,Cédula profesional,Grupo de cadena,Especialidad,Categoría del médico,Propietario de la cuenta,lat,lng,google_maps_url,NOMBRE_BRICK
,,México,QUERETARO,QUERETARO,FRACCIONAMIENTO VISTA 2000,PROLONGACION TECNOLOGICO NORTE,Activa,76159,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.5987812,-100.4111117,"https://www.google.com/maps/search/?api=1&query=20.5987812,-100.4111117",
,,México,QUERETARO,QUERETARO,PRIVADA QUINTAS LA LABORCILLA,EPIGMENIO GONZALEZ,Activa,76169,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6134673,-100.3915785,"https://www.google.com/maps/search/?api=1&query=20.6134673,-100.3915785",QUERETARO 220101
,,México,QUERETARO,QUERETARO,TECNOLOGICO,EPIGMENIO GONZALEZ 211,Activa,76158,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6127481,-100.3980528,"https://www.google.com/maps/search/?api=1&query=20.6127481,-100.3980528",QUERETARO 220101
,,México,QUERETARO,QUERETARO,DESARROLLO SAN PABLO,AVENIDA PIE DE LA CUESTA 817,Activa,76130,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6241554,-100.4062309,"https://www.google.com/maps/search/?api=1&query=20.6241554,-100.4062309",
,,México,QUERETARO,QUERETARO,ARBOLEDAS,PROLONGACION BERNARDO QUINTANA 532,Activa,76140,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6137416,-100.3848853,"https://www.google.com/maps/search/?api=1&query=20.6137416,-100.3848853",
,,México,QUERETARO,QUERETARO,ALAMOS TERCERA  SECCION,BOULEVARD BERNARDO QUINTANA 4099,Activa,76160,1010508,FARMACIA SAN PABLO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6150036,-100.387998,"https://www.google.com/maps/search/?api=1&query=20.6150036,-100.387998",QUERETARO 220101
,,México,QUERETARO,SAN JUAN DEL RIO,CENTRO,CALLEJAS 20 DE NOVIEMBRE 115,Activa,76800,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.3930709,-99.9949231,"https://www.google.com/maps/search/?api=1&query=20.3930709,-99.9949231",SAN JUAN DEL RIO 220500
,,México,QUERETARO,SAN JUAN DEL RIO,CENTRO,CALLEJAS 20 DE NOVIEMBRE,Activa,76800,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.3928999,-99.9961764,"https://www.google.com/maps/search/?api=1&query=20.3928999,-99.9961764",SAN JUAN DEL RIO 220500
,,México,QUERETARO,SAN JUAN DEL RIO,CENTRO,PLAZA INDEPENDENCIA  1,Activa,76800,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.389594,-99.9963802,"https://www.google.com/maps/search/?api=1&query=20.389594,-99.99638019999999",SAN JUAN DEL RIO 220500
,,México,QUERETARO,SAN JUAN DEL RIO,PRADERAS DEL SOL,AVE UNIVERSIDAD 285,Activa,76833,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.3914614,-99.9690383,"https://www.google.com/maps/search/?api=1&query=20.3914614,-99.9690383",SAN JUAN DEL RIO 220500
,,México,QUERETARO,SAN JUAN DEL RIO,TOMASITA,AVE UNIVERSIDAD 188,Activa,76800,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.3902782,-99.9688846,"https://www.google.com/maps/search/?api=1&query=20.3902782,-99.9688846",SAN JUAN DEL RIO 220500
,,México,QUERETARO,SAN JUAN DEL RIO,SAN CAYETANO,AVENIDA RIO MOCTEZUMA 1180,Activa,76806,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.3874805,-99.9756169,"https://www.google.com/maps/search/?api=1&query=20.3874805,-99.9756169",SAN JUAN DEL RIO 220500
,,México,QUERETARO,QUERETARO,ALAMOS TERCERA SECCION,BLVD BERNARDO QUINTANA,Activa,76160,1010508,FARMACIA SAN PABLO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6115351,-100.3830366,"https://www.google.com/maps/search/?api=1&query=20.6115351,-100.3830366",QUERETARO 220101
,,México,QUERETARO,QUERETARO,ALAMOS TERCERA SECCION,AVE CORREGIDORA  206 LA BORCILLA,Activa,76169,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6097925,-100.3866365,"https://www.google.com/maps/search/?api=1&query=20.6097925,-100.3866365",QUERETARO 220101
,,México,QUERETARO,QUERETARO,QUINTAS LA BORCILLA,AVE CORREGIDORA 1210 ARBOLEDAS,Activa,76140,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6227321,-100.389841,"https://www.google.com/maps/search/?api=1&query=20.6227321,-100.389841",
,,México,GUANAJUATO,SAN MIGUEL DE ALLENDE,CENTRO,CALZADA DE LA ESTACION 155,Activa,37736,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.9153319,-100.7589589,"https://www.google.com/maps/search/?api=1&query=20.9153319,-100.7589589",SAN MIGUEL DE ALLENDE 123500
,,México,GUANAJUATO,SAN MIGUEL ALLENDE,CENTRO,CALLEJAS CONDE DEL CANAL 6,Activa,37700,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.9200714,-100.7575072,"https://www.google.com/maps/search/?api=1&query=20.9200714,-100.7575072",SAN MIGUEL DE ALLENDE 123500
,,México,QUERETARO,QUERETARO,EL REFUGIO,CALLE JUNIPERO SERRA 9500,Activa,76146,1010508,FARMACIA BENAVIDES,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6474503,-100.3442197,"https://www.google.com/maps/search/?api=1&query=20.6474503,-100.3442197",
,,México,QUERETARO,QUERETARO,EL REFUGIO,"CALLE VENTA EL REFUGIO 338, EL REFUGIO, EL REFUGIO",Activa,76146,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6437209,-100.3466174,"https://www.google.com/maps/search/?api=1&query=20.6437209,-100.3466174",
,,México,QUERETARO,QUERETARO,EL REFUGIO,CALLE CAMPO REAL,Activa,76146,1010508,LA COMER,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6522837,-100.349531,"https://www.google.com/maps/search/?api=1&query=20.6522837,-100.349531",
,,México,QUERETARO,QUERETARO,EL REFUGIO,"MATANCILLAS 1529, EL REFUGIO, EL REFUGIO",Activa,76146,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6526076,-100.3443471,"https://www.google.com/maps/search/?api=1&query=20.6526076,-100.3443471",
,,México,QUERETARO,QUERETARO,SATELITE,AVENIDA DE LAS FUENTES 440 SATELITE,Activa,76110,1010508,FARMACIA DEL AHORRO,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6373959,-100.4517568,"https://www.google.com/maps/search/?api=1&query=20.6373959,-100.4517568",
,,México,QUERETARO,QUERETARO,SATELITE,"AVENIDA DE LAS FUENTES 1511, SATELITE, SATELITE",Activa,76115,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6357942,-100.4516043,"https://www.google.com/maps/search/?api=1&query=20.6357942,-100.4516043",
,,México,QUERETARO,QUERETARO,JOSEFA ORTIZ DE DOMINGUEZ,"AVENIDA DE LA CASCADA 90, JOSEFA ORTIZ DE DOMINGUEZ, JOSEFA ORTIZ DE DOMINGUEZ",Activa,76110,1010508,FARMACIA GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.6460356,-100.4578383,"https://www.google.com/maps/search/?api=1&query=20.6460356,-100.4578383",
,,México,QUERETARO,QUERETARO,JACAL,HACIENDA EL JACAL 1210,Activa,76180,1010508,GUADALAJARA,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.5636103,-100.4217282,"https://www.google.com/maps/search/?api=1&query=20.5636103,-100.4217282",QUERETARO 220104
,,México,QUERETARO,QUERETARO,TERRANOVA,BOULEVARD HACIENDA EL JACAL TERRANOVA,Activa,76910,1010508,FARMACIA BENAVIDES,Farmacias Digrimex,,,,,A,Celia Irma Ordoñez Gonzalez,20.5601781,-100.4307665,"https://www.google.com/maps/search/?api=1&query=20.5601781,-100.4307665",RESTO DEL ESTADO REGION C 229100
,,México,QUERETARO,QUERETARO,COSMOS SATELITE,"AVE DE LA LUZ 333, COSMOS SATELITE, COSMOS SATELITE",Activa,76110,1010508,FARMACIA SAN PABLO,Farmacias Digrimex,,,,,C,Celia Irma Ordoñez Gonzalez,20.6371204,-100.4508978,"https://www.google.com/maps/search/?api=1&query=20.6371204,-100.4508978",
,,México,QUERETARO,QUERETARO,LAS GEMAS,"PARQUE DEL ALAMO 50, LAS GEMAS, LAS GEMAS",Activa,76160,1010508,COMECIAL MEXICANA,Farmacias Digrimex,,,,,C,Celia Irma Ordoñez Gonzalez,20.6086747,-100.3886947,"https://www.google.com/maps/search/?api=1&query=20.6086747,-100.3886947",QUERETARO 220101
